code	lc	product_name_bg	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_et	product_name_fr	product_name_hr	product_name_hu	product_name_it	product_name_lt	product_name_lv	product_name_nl	product_name_pl	product_name_pt	product_name_ro	product_name_ru	product_name_sk	product_name_sl	product_name_sr	generic_name_bg	generic_name_cs	generic_name_de	generic_name_en	generic_name_es	generic_name_et	generic_name_fr	generic_name_hu	generic_name_it	generic_name_lt	generic_name_lv	generic_name_nl	generic_name_pl	generic_name_pt	generic_name_ro	generic_name_sk	generic_name_sl	generic_name_sr	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ar	ingredients_text_bg	ingredients_text_cs	ingredients_text_da	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_et	ingredients_text_fi	ingredients_text_fr	ingredients_text_hr	ingredients_text_hu	ingredients_text_it	ingredients_text_lt	ingredients_text_lv	ingredients_text_nl	ingredients_text_pl	ingredients_text_pt	ingredients_text_ro	ingredients_text_ru	ingredients_text_sk	ingredients_text_sl	ingredients_text_sr	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	cocoa_value	cocoa_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
7622210669315	et				Choco brownie	Choco brownie		Choco brownie																																150 g (6 * 25 g)	25 g	Plast, en:Box, en:container	en:plastic,en:box,en:container	Milka	milka		en:Snacks, en:Sweet snacks, en:Biscuits and cakes, Kook, en:Chocolate cakes, en:Brownies	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:brownies	en:Green Dot, en:New, en:Pure cocoa butter	en:green-dot,en:new,en:pure-cocoa-butter	Prantsusmaa, Ungari, Hispaania	en:france,en:hungary,en:spain			0		Poola	en:poland													sugar, egg, palm fat, wheat flour, cocoa paste, nabina oil, glucose syrup, cocoa butter, dextrose, moisturizer (glycerol), invert sugar syrup, milk powder, efmulgeants (e 492, soy lecithin, e 476, e 473), whey powder, skim milk powder, condensed skim milk, lean cocoa, milk fat, preservative aromas (potassium sorbate) , salt, modified starch, acidity correctors (citric acid, tartaric acid),  gelling (sodium alginate), gasifiers (disodium diphosphate, sodium acid carbonate),	Azúcar, huevo, grasa de palma, harina de trigo, pasta de cacao, aceite de nabina, jarabe de glucosa, manteca de cacao, dextrosa, humectante (glicerol), jarabe de azúcar invertido, leche en polvo, emulgentes (E 492, lecitina de soja, E 476, E 473), suero de leche en polvo, leche desnatada en polvo, leche desnatada condensada, cacao magro, grasa de leche, aromas, conservador (sorbato potásico), sal, almidón modificado, correctores de acidez (ácido cítrico, ácido tartárico), gelificante (alginato de sodio), gasificantes (difosfato disódico, carbonato ácido de sodio),			"Sucre, _œuf_, graisse de palme, farine de _blé_, pâte de cacao, huile de colza, sirop de glucose, beurre de cacao, dextrose, humectant (glycérol), sirop de sucre inverti, _lait_ en poudre, émulsifiants (E492, lécithine de _soja_, E476, E471), poudre de _lactosérum_, _lait_ écrémé en poudre, _lait_ écrémé condensé, cacao maigre, graisse de _lait_, arômes, conservateur (sorbate de potassium), amidon modifié et correcteurs d'acidité ( acide citrique, acide tartrique), gélifiant (alginate de sodium), gazéifiants (diphosphate disodique, hydrogénocarbonate de sodium)."															Munad, Gluteen, Laktoos, Soja	en:eggs,en:gluten,en:milk,en:soybeans	Pähklid, Seesamiseemned	en:nuts,en:sesame-seeds		100g	100g					473	kcal			29	g			12	g			48	g			38	g			1.7	g			4.8	g			0.3	g			0.12	g					473	kcal																												en:container	en:plastic					en:box										en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	e	23	d	28		23032	-1	-15	1	0								App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts
7622300650339	fr							Milka - Oreo																				Chocolat au lait du pays alpin aux morceaux (12 %) de biscuit cacaoté et fourré crème confiseur (42%) au lait goût vanille												100 g	20 g	"Plastique, Étui"	en:plastic,en:sleeve	Milka,Oreo,Mondelez	milka,oreo,mondelez		Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Chocolats, Chocolats au lait, Chocolats fourrés, Chocolats au lait fourrés	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:milk-chocolates,en:filled-chocolates,en:filled-milk-chocolates	Cocoa Life, Tidy man	en:cocoa-life,fr:tidy-man	Belgique, France, Espagne	en:belgium,en:france,en:spain	Leclerc,Carrefour	leclerc,carrefour	0		Non indiqué	en:unspecified													sugar, vegetable fats, cocoa butter, whey powder, skim milk powder, wheat flour, cocoa paste, concentrated butter, high-fat milk powder (2%), lean cocoa powder (1%), hazelnut paste, emulsifier (soy lecithin), glucose-fructose syrup, aromas, rose powder (ammonium acid carbonate, carbonate				"Sucre, graisses végétales (palme, palmiste), 7% LAIT écrémé en poudre, beurre de cacao, farine de BLÉ, pâte de cacao, lactosérum en poudre (de LAIT), BEURRE concentré, cacao maigre en poudre (0,7%), émulsifiant (lécithines de SOJA), sirop de glucose-fructose, amidon de BLÉ, pâte de NOISETTE, poudres à lever (E503, E501, E500), sel, arômes, correcteur d'acidité (E524)"															"Gluten, Lait, Fruits à coque, Soja"	en:gluten,en:milk,en:nuts,en:soybeans	"Fruits à coque"	en:nuts		100g	100g	2350	kJ			564	kcal			35	g			20	g			56	g			49	g			1.6	g			4.8	g			0.33	g			0.132	g					2350	kJ																											1	en:sleeve	en:pp-5-polypropylene	en:discard														en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	27	e	15		31079	-5	-8	0	0	-10							App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts
7622201814083	de			DARK milk																																				85g				Milka	milka		"Imbiss, Süßer Snack, Kakao und Kakaoprodukte, Schokoladen, en:Imbiss, en:Karamel-Schokoladen, en:Milchschokolade mit Karamel, en:Milchschokoladen, en:Schokoladen, en:Süßer Snack"	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:imbiss,en:karamel-schokoladen,en:milchschokolade-mit-karamel,en:milchschokoladen,en:schokoladen,en:susser-snack			Deutschland	en:germany			0															"t 7 622201 814083 21 11 2023 OWRO724713 1 e 85 ndestens haltbar bis: siehe oben / Minőségét me p/hónap/év): lásd felül. Száraz, hűvös helyen tartandó!/Minis anlivost do: viz výše/Minimálna trvanlivost do: pozri vyss ken lagern und vor Wärme schützen./Uchovejte v suchu toolschovaite y suchu, Chraňte pred teplom."																								null	100g	100g					528	kcal			31	g			19	g			53	g			52	g							6.6	g			0.53	g			0.212	g					528	kcal																																												en:chocolate-products	en:sugary-snacks,en:chocolate-products		unknown	e	28	unknown		1		-5	-15	1	0								App - yuka, Apps, App - Speisekammer
7312930010114	en				Chocolate & Hazelnut Cake																																							Milka	milka				No gluten	en:no-gluten	United States	en:united-states			0																																								100g	100g					480	kcal			32	g			12	g			34	g			32	g			2	g			10	g			0.325	g			0.13	g					480	kcal																																															unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4007993021377	de			Milka Crunchy Chocolate																																				440 ml 264 g	66 g	Kunststoff, Karton, 23 PBD	en:plastic,en:cardboard,en:paperboard	Milka,Mondelez	milka,mondelez		Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis, Eis am Stiel, Schokoladeneis am Stiel	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-bars,en:chocolate-ice-cream-bars	Grüner Punkt, Hergestellt in Deutschland	en:green-dot,en:made-in-germany	Frankreich, Deutschland	en:france,en:germany	Magasins U	magasins-u	0							Deutschland	deutschland							"_Alpenmilchschokolade_ (Zucker, Kakaobutter, Kakaomasse, _Magermilchpulver_, _Butterreinfett_, _Süßmolkenpulver_, Emulgatoren (_Sojalecithin_, E476)), entrahmte _Milch_, Zucker, _Molkenerzeugnis_, Kokosfett, Reismehl, _Rahm_, Glukosesirup, Glukose-Fruktose-Sirup, _Alpenmilchschokolade_ (Zucker, Kakaobutter, _Magermilchpulver_, Kakaomasse, _Süßmolkenpulver_, Butterreinfett_, _Haselnussmasse_, Emulgator (_Sojalecithin_), Aroma), eingedickte entrahmte _Milch_, fettarmer Kakao, Emulgator (Mono - und Diglyceride von Speisefettsäuren), Stabilisatoren (Johannisbrotkernmehl, Guarkernmehl), Salz, _Hafermehl_, _Weizenmalzmehl_, Vanilleextrakt, Kakaobutter, Backtriebmittel (Natriumcarbonate), natürliches Vanillearoma"																				Gluten, Milch, Schalenfrüchte, Soja, Alpenmilchschokolade, en:Alpenmilchschokolade	en:gluten,en:milk,en:nuts,en:soybeans,de:alpenmilchschokolade,en:alpenmilchschokolade	Eier, Schalenfrüchte, Erdnüsse, en:Pekannüsse	en:eggs,en:nuts,en:peanuts,en:pekannusse		100g	100g					347	kcal			21.3	g			14.9	g			34.2	g			30.6	g			1.2	g			3.9	g			0.58	g			0.232	g					347	kcal																													en:plastic						en:paperboard									en:ice-cream	en:milk-and-dairy-products,en:ice-cream	4	en:4-ultra-processed-food-and-drink-products	e	21	b	71		39503	-5	-11	1	0								App - yuka, Apps
7622300567606	fr				Daim			Daim																				Chocolat au lait du pays alpin aux cornflakes (10 %) et éclats de caramel croquant aux amandes (23 %).												145 g e	29 g	Plastique, 07, C/PP, Sachet plastique	en:plastic,fr:07,fr:c-pp,fr:sachet-plastique	Milka	milka		Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Chocolats	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:chocolates	Point Vert, Fabriqué en Allemagne	en:green-dot,en:made-in-germany	France, Suisse	en:france,en:switzerland	Casino,Intermarché,Magasins U,carrefour.fr	casino,intermarche,magasins-u,carrefour-fr	0		Allemagne	en:germany												"Zucker, Kakaobutter, Mais, Magermilchpulver, Kakaomasse, Palmöl, Süßmolkenpulver (aus Milch), Butterreinfett Mandeln (1%), gezuckerte Kondensmagermilch, Speisesalz, Emulgatoren (Sojalecithin, Sonnenblumenlecithin), Gerstenmalzextrakt, Aromen, Molkenerzeugnis (aus Milch). Kakao: 30% mindestens in der Alpenmilchschokolade. Kann Weizen enthalten."	sugar, cocoa butter, corn, skimmed milk powder, cocoa mass, whey powder (from milk ), vegetable fats, concentrated butter, almonds (1 %), skimmed milk concentrated sweetened, salt, emulsifiers (soy lecithin , sunflower lecithin), malt extract of barley , aromas, preparation whey (milk ),				"Sucre, beurre de cacao, maïs, poudre de lait écrémé, pâte de cacao, graisse de palme, lactosérum en poudre (de lait), beurre concentré, amandes (1%), lait écrémé concentré sucré, sel, émulsifiants (lécithine de soja, lécithine de tournesol), extrait de malt d'orge, arômes, préparation à base de lactosérum (de lait)."															"Gluten, Lait, Fruits à coque, Soja"	en:gluten,en:milk,en:nuts,en:soybeans	"Gluten, Lait, Fruits à coque, Soja"	en:gluten,en:milk,en:nuts,en:soybeans		100g	100g	2166	kJ			518	kcal			27	g			15	g			62	g			54	g			1.7	g			5.3	g			0.76	g			0.304	g					2166	kJ																												en:bag	en:pp-5-polypropylene														https://www.mondelezpro.fr/~/media/MondelezPro/fr/PDF/fiches-techniques/674859_7622300567606_Milka%20Snax%20Daim%20145g%20_FT	en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	28	unknown				4	-8	0	0	-10							Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts
3045140280827	fr							Milka Riz Croustillant																				Carré de chocolate au riz												2x100g	25 g	Plastique, Barquette	en:plastic,en:tray	Milka	milka		Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats au riz soufflé	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,fr:chocolats-au-riz-souffle	Fabriqué en Allemagne	en:made-in-germany	France	en:france			0																				Sucre, beurre de cacao, riz, poudre de lait écrémé, pâte de cacao, lactosérum en poudre, beurre concentré, pâte de noisette, émulsifiant (lécithine de soja), sel, malt (d'orge), arôme (vanille). Cacao : 30% minimum dans le chocolat au Lait du Pays Alpin.															Gluten, Lait, Soja	en:gluten,en:milk,en:soybeans	"Gluten, Lait, Fruits à coque, Soja"	en:gluten,en:milk,en:nuts,en:soybeans		100g	100g	2120	kJ			505	kcal			25	g			15	g			62.5	g			50	g			1.8	g			6.7	g			0	g			0	g					2120	kJ																									30	g		en:tray	en:plastic															en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	25	unknown				-5	-10	1	0								
7622210349675	de			Milka Caramel				Caramel - Chocolat au lait																				Chocolat au lait du pays alpin fourré crème confiseur (40%) au caramel												100g	14g	en:Kunststoff, en:Tafel, en:Tüte	en:kunststoff,en:tafel,en:tute	Milka	milka		"Imbiss, Süßer Snack, Kakao und Kakaoprodukte, Schokoladen, Milchschokoladen, Gefüllte Schokolade, Gefüllte Milchschokolade"	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:filled-chocolates,en:filled-milk-chocolates	Grüner Punkt, en:Made in the EU	en:green-dot,en:made-in-the-eu	Frankreich, Deutschland	en:france,en:germany			0													"Cukr, glukózový sirup, kakaové máslo, sušené odstředěné MLÉKO, sušená syrovátka (z MLÉKA), kakaová hmota, glukózo-fruktózový sirup, palmový tuk, MLÉČNÝ tuk, emulgátory (SOJOVÉ lecitiny, E476, E471), LÍSKOOŘÍŠKOVÁ pasta, aromata, jedlá sůl, regulátor kyselosti (E500)."		Zucker, Glukosesirup, Kakaobutter, MAGERMILCHPULVER, Süssmolkenpulver (aus MILCH), Kakaomasse, Glukose-Fruktose-Sirup, Palmöl, BUTTERREINFETT, Emulgatoren (SOJALECITHINE, E476, E471), HASELNUSSMASSE, Aromen, Speisesalz, Säureregulator (E500).					Sucre, sirop de glucose, beurre de cacao, poudre de _lait_ écrémé, graisse de palme, pâte de cacao, lactosérum en poudre (de _lait_), _beurre_ concentré, sirop de glucose-fructose, pâte de _noisettes_, émulsifiants (lécithine de _soja_, E471, lécithine de tournesol, E476), arômes, sel, correcteur d'acidité (carbonate de sodium).		"Cukor, glükózszirup, kakaóvaj, sovány TEJPOR, TEJSAVÓPOR, kakaómassza, glükóz-fruktóz szirup, pálmaolaj, TEJZSÍR, emulgeálószerek (SZÓJALECITINEK, E476, E471), MOGYORÓMASSZA, aromák, étkezési só, savanyúságot szabályozó anyag (E500). umolovou náplní (40 %)."													Milch, Schalenfrüchte, Soja	en:milk,en:nuts,en:soybeans				100g	100g	2065	kJ			484	kcal			24	g			13	g			63	g			53	g			1.1	g			4.1	g			0.37	g			0.148	g					2065	kJ																												en:bag	en:plastic															en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	26	e	13		31079	-5	-10	1	0	-10							App - Open Food Facts, Apps, App - Speisekammer, App - Yuka, App - smoothie-openfoodfacts
7622210703521	en				Milka triolade max																																			280 g				Milka	milka		Snacks, Sweet snacks, Cocoa and its products, Chocolates	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates	Cocoa Life	en:cocoa-life	Lithuania	en:lithuania			0																Sugar, cocoa butter, cocoa mass, skimmed MILK powder, whey powder (from MILK), MILK fat, emulsifier (SOYA lecithins), HAZELNUT paste, flavourings. Alpine milk chocolate contains: cocoa solids 33% minimum, milk solids 18 % minimum. Dark Alpine milk chocolate contains cocoa solids 45 % minimum, milk solids 14 % minimum. MAY CONTAIN OTHER NUTS AND WHEAT.																			Milk, Nuts, Soybeans	en:milk,en:nuts,en:soybeans	Gluten, Nuts	en:gluten,en:nuts		100g	100g					551	kcal			33	g							56	g			55	g			2.1	g			5.6	g			0.24	g			0.096	g					551	kcal																											1	en:wrapper	en:pp-5-polypropylene															en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products			unknown				-5	-8	0	0								App - smoothie-openfoodfacts, Apps
7622201735654	es					Mmmh Almendras enteras tostadas																																						Milka	milka		Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates con leche, Chocolates con almendras, Chocalte con leche almendrado	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:chocolates-with-almonds,en:milk-chocolates-with-almonds	Punto Verde	en:green-dot	Rumania	en:romania			0																	Azúcar, ALMENDRAS (20%), manteca de cacao, pasta de cacao, LECHE desnatada en polvo, suero de LECHE en polvo, grasa de LECHE, emulgente (lecitinas de SOJA), pasta de AVELLANA, aroma. PUEDE CONTENER TRIGO.											"Açúcar, AMÊNDOAS (20%), manteiga de cacau, pasta de cacau, LEITE em pó magro, soro de LEITE em pó, gordura do LEITE, emulsionante (lecitinas de SOJA), pasta de AVELAS, aroma. Cacau: 33% mínimo no chocolate de leite dos Alpes. PODE CONTER TRIGO."							Gluten, Leche, Frutos de cáscara, Soja	en:gluten,en:milk,en:nuts,en:soybeans				100g	100g					556	kcal			35	g			16	g			47	g			45	g			4.2	g			9.6	g			0.22	g			0.088	g					556	kcal																									33	g																		en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	21	e	18	1	31018	-5	-15	1	0								App - smoothie-openfoodfacts, Apps
5998711723491	pl				Toffee Cream Chocolate										Toffee Cream Chocolate																									100 g		fr:Film PP	fr:film-pp	Milka	milka		"Przekąski, Słodkie przekąski, Kakao i produkty na bazie kakao, Czekolada, Czekolada mleczna, en:Filled chocolates, en:Filled milk chocolates"	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:filled-chocolates,en:filled-milk-chocolates	Cocoa Life, en:Green Dot	en:cocoa-life,en:green-dot	"Grecja, Węgry, Tunezja"	en:greece,en:hungary,en:tunisia			0																"sugar, palm oil, cocoa butter, whey powder, skimmed milk powder, glucose syrup, cocoa liquor, milk fat, glucose-fructose syrup, emulsifiers (soya lecithins, e 471), hazelnut paste, flavourings, salt,
the milk filling contains 7 % skimmed milk powder,
may contain other nuts and wheat,"											"Cukier, olej palmowy, tłuszcz kakaowy, serwatka w proszku (z mleka), odtłuszczone mleko w proszku, syrop glukozowy, miazga kakaowa, tłuszcz mleczny, syrop glukozowo-fruktozowy, emulgatory (lecytyny sojowe, E 471), pasta z orzedchów laskowych, aromaty, sól,
Nadzienie mleczne zawiera 7 % odtłuszczonego mleka w proszku,
Może zawierać inne orzechy oraz pszenice,"								Mleko	en:milk				100g	100g					539	kcal			33	g			18	g			56	g			52	g			1	g			4.6	g			0.41	g			0.164	g					539	kcal																												en:film	en:pp-5-polypropylene														http://landing.milka.com	en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	26	d	22		31079	-5	-1	0	0	-10							App - Yuka, Apps, App - Open Food Facts, App - InFood
7622210834003	es					MMMAX  almendras y caramelo		MMMAX Chocolat au lait amandes caramel			MMMAX chocolate con leche, almendras y caramelo															Chocolate con leche, almendras y caramelo																		Milka	milka		Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates con leche, Chocolate relleno, en:Filled milk chocolates	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:filled-chocolates,en:filled-milk-chocolates			Andorra, Francia, España	en:andorra,en:france,en:spain			0																sugar, palm oil, cocoa butter, cocoa páte, almonds (7.5%), skimmed milk powder, lactoserum powder (milk), glucose syrup, concentrated butter, cocoa powder, sweet concentrated skimmed milk, humectant (glycerin), emulsifiers (soy lecithin, sunflower lecithin), invert sugar syrup, caramelized sugar, salt, hazelnut paste, aromas, 4.5% cocoa powder and 9% cocoa páte in the filling almond confectioner cream and cocoa	Azúcar, grasa de palma, pasta de cacao, manteca de cacao, LECHE desnatada en polvo, ALMENDRAS (6 %), jarabe de glucosa, suero de LECHE en polvo, grasa de LECHE, pasta de ALMENDRA (1,5 %), cacao en polvo, LECHE desnatada condensada, humectante (glicerol), emulgente (lecitinas de SOJA), jarabe de azúcar invertido, sal, pasta de AVELLANA, jarabe de azúcar caramelizado, aromas (contiene LECHE). PUEDE CONTENER TRIGO.			"Sucre, huile de palme, pâte de cacao, beurre de cacao, LAIT écrémé en poudre, AMANDES (6 %), sirop de glucose, lactosérum en poudre (de LAIT), BEURRE concentré, pâte d'AMANDE (1,5 %), cacao en poudre, LAIT écrémé concentré sucré, humectant (glycérol), émulsifiant (lécithines de SOJA), sirop de sucre inverti, sel, pâte de NOISETTE, sirop de sucre caramélisé, arômes (contient LAIT). PEUT CONTENIR BLÉ."			"Zucchero, olio di palma, pasta di cacao, burro di cacao, LATTE scremato in polvere, MANDORLE (6 %), sciroppo di glucosio, siero di LATTE in polvere, grasso del LATTE, pasta di MANDORLE (1,5 %), cacao in polvere, LATTE scremato condensato zuccherato, umidificante (glicerolo), emulsionante (lecitine di SOIA), sciroppo di zucchero invertito, sale, pasta di NOCCIOLE, sciroppo di zucchero caramellato, aromi (contengono LATTE). 4,5% cacao in polvere e 9% pasta di cacao nel ripieno di mandorle e cacao. PUÒ CONTENERE GRANO."					"Açúcar, gordura de palma, pasta de cacau, manteiga de cacau, LEITE em pó magro, AMÊNDOAS (6 %), xarope de glucose, soro de LEITE em pó, gordura do LEITE, pasta de AMÊNDOAS (1,5 %), cacau em pó, LEITE condensado magro, humidificante (glicerol), emulsionante (lecitinas de SOJA), xarope de açúcar invertido, sal, pasta de AVELÃS, xarope de açúcar caramelizado, aromas (contém LEITE). 4,5 % cacau em pó e 9% pasta de cacau no recheio cremoso de cacau e amêndoas. PODE CONTER TRIGO."							Gluten, Leche, Frutos de cáscara, Soja	en:gluten,en:milk,en:nuts,en:soybeans				100g	100g					549	kcal			34	g			18	g			52	g			49	g			3.1	g			5.8	g			0.4	g			0.16	g					549	kcal																											1	en:sleeve	en:pp-5-polypropylene															en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	24	e	15		31079	-5	-8	0	0	-10							App - yuka, Apps, App - elcoco, App - El CoCo, App - InFood
7622300757717	es					Mmmax bubbly caramel																				Chocolate con leche de los Alpes con relleno líquido (19 %) con caramelo sobre una capa de chocolate con leche de los Alpes aireado (40%).																		Milka	milka		Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates con leche, Chocolate relleno, en:Filled milk chocolates	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:filled-chocolates,en:filled-milk-chocolates			Andorra, Francia, España	en:andorra,en:france,en:spain			0																	"Azúcar, manteca de cacao, pasta de cacao, jarabe de glucosa, LECHE desnatada en polvo, suero de LECHE en polvo, grasa de LECHE, grasa de palma, LECHE desnatada condensada (LECHE desnatada, azúcar), humectante (glicerol), jarabe de azúcar invertido, emulgentes (lecitinas de SOJA, E476), jarabe de azúcar caramelizado, pasta de AVELLANA, sal, aroma. PUEDE CONTENER OTROS FRUTOS DE CÁSCARA Y TRIGO."			"Sucre, beurre de cacao, pâte de cacao, sirop de glucose, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, huile de palme, LAIT écrémé concentré sucré (LAIT écrémé, sucre), humectant (glycérol), sirop de sucre inverti, émulsifiants (lécithines de SOJA, E476), sirop de sucre caramélisé, pâte de NOISETTE, sel, arôme. PEUT CONTENIR AUTRES FRUITS À COQUE ET BLÉ."			"Zucchero, burro di cacao, pasta di cacao, sciroppo di glucosio, LATTE scremato in polvere, siero di LATTE in polvere, grasso del LATTE, olio di palma, LATTE scremato condensato zuccherato (LATTE scremato, zucchero), umidificante (glicerolo), sciroppo di zucchero invertito, emulsionanti (lecitine di SOIA, E476), sciroppo di zucchero caramellato, pasta di NOCCIOLE, sale, aroma. PUÒ CONTENERE ALTRA FRUTTA A GUSCIO E GRANO."			Suiker, cacaoboter, cacaomassa, glucosestroop, magere MELKPOEDER, weipoeder (van MELK), MELKVET, palmolie, gecondenseerde magere MELK met suiker (magere MELK, suiker), bevochtigingsmiddel (glycerol), invertsuikerstroop, emulgatoren (SOJALECITHINEN, E476), gekarameliseerde suikerstroop, HAZELNOOTPASTA, zout, aroma. KAN ANDERE NOTEN EN TARWE BEVATTEN.		"Açúcar, manteiga de cacau, pasta de cacau, xarope de glucose, LEITE em pó magro, soro de LEITE em pó, gordura do LEITE, gordura de palma, LEITE condensado magro (LEITE magro, açúcar), humidificante (glicerol), xarope de açúcar invertido, emulsionantes (lecitinas de SOJA, E476), xarope de açúcar caramelizado, pasta de AVELÃS, sal, aroma. PODE CONTER OUTROS FRUTOS DE CASCA RIJA E TRIGO."							Leche, Frutos de cáscara, Soja	en:milk,en:nuts,en:soybeans	Gluten, Frutos de cáscara	en:gluten,en:nuts		100g	100g					512	kcal			28	g			16	g			59	g			55	g			1.8	g			5.4	g			0.35	g			0.14	g					512	kcal																											1	en:sleeve	en:PP5															en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	26	e	13		31079	-5	-10	0	0	-10							App - yuka, Apps, App - El CoCo
